,State,Year,Population,Number of Cannabis Users,Number of Opioid Deaths,Per Capita Cannabis Use,Per Capita Opioid Deaths,Recreational,Rec Year Legalized,Medical,Med Year Legalized,Years legal (rec),Years legal (med)
267,Louisiana,2016,4681346,429000,996,0.0916403102868277,0.0002127593217848,0,0,1,2015,0,7
268,Louisiana,2017,4673673,469000,1108,0.1003493398019074,0.000237072640726,0,0,1,2015,0,7
269,Louisiana,2018,4664450,468000,1140,0.1003333726377172,0.0002444018051431,0,0,1,2015,0,7
270,Louisiana,2019,4658285,464000,1267,0.0996074735659153,0.0002719885107931,0,0,1,2015,0,7
271,Louisiana,2020,4645318,552000,1896,0.1188293244940389,0.0004081528971751,0,0,1,2015,0,7
272,Tennessee,2014,6544617,560000,1269,0.0855665045028609,0.0001938998110966,0,0,0,0,0,0
273,Tennessee,2015,6595354,606000,1457,0.0918828617842196,0.0002209130851808,0,0,0,0,0,0
274,Tennessee,2016,6651277,709000,1630,0.1065960717017198,0.0002450657219658,0,0,0,0,0,0
275,Tennessee,2017,6714748,748000,1776,0.1113965855457271,0.0002644924277128,0,0,0,0,0,0
276,Tennessee,2018,6778180,739000,1823,0.1090263167989047,0.000268951252401,0,0,0,0,0,0
277,Tennessee,2019,6830325,780000,2089,0.1141966158272117,0.0003058419621321,0,0,0,0,0,0
278,Tennessee,2020,6886834,874000,3034,0.1269088234158105,0.000440550766869,0,0,0,0,0,0
279,Delaware,2014,933131,109000,189,0.1168110372498609,0.0002025439086259,0,0,1,2011,0,11
280,Delaware,2015,942065,103000,198,0.1093342816047725,0.0002101765801722,0,0,1,2011,0,11
281,Delaware,2016,949989,105000,282,0.1105275955826857,0.000296845542422,0,0,1,2011,0,11
282,Delaware,2017,957942,119000,338,0.1242246399051299,0.000352839733512,0,0,1,2011,0,11
283,Delaware,2018,966985,139000,401,0.1437457664803487,0.0004146910241627,0,0,1,2011,0,11
284,Delaware,2019,976668,149000,435,0.1525595186900768,0.000445391883424,0,0,1,2011,0,11
285,Delaware,2020,986809,140000,444,0.1418714259801035,0.0004499350938226,0,0,1,2011,0,11
286,Pennsylvania,2014,12792392,1265000,2732,0.0988869009017234,0.0002135644373624,0,0,1,2016,0,6
287,Pennsylvania,2015,12789838,1339000,3264,0.1046924910229512,0.0002552026069446,0,0,1,2016,0,6
288,Pennsylvania,2016,12788468,1415000,4627,0.1106465606357227,0.0003618103435063,0,0,1,2016,0,6
289,Pennsylvania,2017,12794679,1433000,5388,0.1119996836184792,0.0004211125578062,0,0,1,2016,0,6
290,Pennsylvania,2018,12809107,1542000,4415,0.1203830993058298,0.0003446766429541,0,0,1,2016,0,6
291,Pennsylvania,2019,12798883,1752000,4377,0.1368869455248555,0.0003419829683574,0,0,1,2016,0,6
292,Pennsylvania,2020,12783254,1832000,5168,0.1433124930475448,0.0004042789105184,0,0,1,2016,0,6
293,Oklahoma,2014,3879187,338000,777,0.0871316592884024,0.0002002997019736,0,0,1,2018,0,4
294,Oklahoma,2015,3910518,358000,725,0.091547973951277,0.0001853974332812,0,0,1,2018,0,4
295,Oklahoma,2016,3928143,357000,813,0.0908826384375517,0.0002069680253493,0,0,1,2018,0,4
296,Oklahoma,2017,3933602,388000,775,0.0986373303654004,0.0001970204408071,0,0,1,2018,0,4
297,Oklahoma,2018,3943488,416000,716,0.1054903679179447,0.0001815651524741,0,0,1,2018,0,4
298,Oklahoma,2019,3960676,497000,645,0.1254836295622262,0.0001628509880636,0,0,1,2018,0,4
299,Oklahoma,2020,3980783,629000,762,0.1580091152921423,0.0001914196277466,0,0,1,2018,0,4
300,Ohio,2014,11606573,1122000,2744,0.096669361404094,0.000236417760867,0,0,1,2016,0,6
301,Ohio,2015,11622315,1179000,3310,0.101442784849662,0.0002847969617068,0,0,1,2016,0,6
302,Ohio,2016,11640060,1344000,4329,0.1154633223540084,0.0003719052994572,0,0,1,2016,0,6
303,Ohio,2017,11665706,1343000,5111,0.1151237653340483,0.0004381217904857,0,0,1,2016,0,6
304,Ohio,2018,11680892,1348000,3980,0.1154021456580541,0.0003407274033524,0,0,1,2016,0,6
305,Ohio,2019,11696507,1556000,4251,0.133031169049016,0.0003634418378067,0,0,1,2016,0,6
306,Ohio,2020,11693217,1704000,5204,0.1457255090707715,0.0004450443363874,0,0,1,2016,0,6
307,Nevada,2014,2818935,304000,545,0.1078421460587065,0.0001933354263223,1,2016,1,1998,6,24
308,Nevada,2015,2868531,309000,619,0.1077206416803583,0.0002157898938515,1,2016,1,1998,6,24
309,Nevada,2016,2919555,319000,665,0.1092632267588725,0.0002277744382277,1,2016,1,1998,6,24
310,Nevada,2017,2972097,416000,676,0.1399685138136474,0.0002274488349471,1,2016,1,1998,6,24
311,Nevada,2019,3090771,613000,647,0.1983323902029623,0.000209332881666,1,2016,1,1998,6,24
312,Nevada,2020,3138259,588000,832,0.1873650326502688,0.0002651151482398,1,2016,1,1998,6,24
313,Utah,2014,2938327,224000,603,0.0762338568852275,0.0002052188200972,0,0,1,2018,0,4
314,Utah,2015,2983626,211000,646,0.0707193193785011,0.0002165150725995,0,0,1,2018,0,4
315,Utah,2016,3044241,229000,635,0.0752240049325923,0.0002085905813633,0,0,1,2018,0,4
316,Utah,2017,3103540,253000,650,0.0815198128588644,0.0002094382543804,0,0,1,2018,0,4
317,Utah,2018,3155153,271000,624,0.0858912388717757,0.0001977717086936,0,0,1,2018,0,4
318,Utah,2019,3203383,314000,571,0.0980213730297001,0.0001782490573247,0,0,1,2018,0,4
319,Utah,2020,3249879,354000,622,0.1089271323640049,0.0001913917410463,0,0,1,2018,0,4
320,Rhode Island,2014,1056511,170000,247,0.1609069853508387,0.0002337883845979,1,2022,1,2006,0,16
321,Rhode Island,2015,1056886,170000,310,0.1608498929875123,0.0002933145107419,1,2022,1,2006,0,16
322,Rhode Island,2016,1057816,184000,326,0.1739432944859975,0.0003081821413175,1,2022,1,2006,0,16
323,Rhode Island,2017,1056554,189000,320,0.1788834266871357,0.0003028714102639,1,2022,1,2006,0,16
324,Rhode Island,2018,1059338,189000,317,0.1784133109545773,0.0002992434898021,1,2022,1,2006,0,16
325,Rhode Island,2019,1058158,212000,307,0.2003481521663116,0.0002901268052597,1,2022,1,2006,0,16
326,Rhode Island,2020,1057125,224000,397,0.2118954712072839,0.0003755468842379,1,2022,1,2006,0,16
327,New Mexico,2014,2090236,267000,547,0.1277367723070505,0.0002616929380223,1,2021,1,2007,1,15
328,New Mexico,2015,2090071,253000,501,0.1210485194043647,0.0002397047755793,1,2021,1,2007,1,15
329,New Mexico,2016,2092555,272000,500,0.1299846360071778,0.0002389423456014,1,2021,1,2007,1,15
330,New Mexico,2017,2092844,302000,493,0.1443012474890627,0.0002355646192453,1,2021,1,2007,1,15
331,New Mexico,2018,2093754,325000,537,0.1552235840504663,0.0002564771219541,1,2021,1,2007,1,15
332,New Mexico,2019,2099634,358000,599,0.1705059072200202,0.000285287816829,1,2021,1,2007,1,15
333,New Mexico,2020,2106319,329000,784,0.156196663468354,0.0003722133257118,1,2021,1,2007,1,15
334,Kentucky,2014,4416992,398000,1077,0.0901065702632017,0.0002438310959132,0,0,0,0,0,0
335,Kentucky,2015,4429126,449000,1273,0.1013744020829391,0.0002874156210502,0,0,0,0,0,0
336,Kentucky,2016,4440306,470000,1419,0.1058485608874703,0.0003195725699985,0,0,0,0,0,0
337,Kentucky,2017,4455590,475000,1566,0.1066076546540413,0.0003514686046067,0,0,0,0,0,0
338,Kentucky,2018,4464273,478000,1315,0.1070723049419244,0.0002945608389092,0,0,0,0,0,0
339,Kentucky,2019,4472345,553000,1380,0.1236487793316481,0.0003085629574641,0,0,0,0,0,0
340,Kentucky,2020,4477251,557000,2083,0.1244066950903579,0.0004652408363971,0,0,0,0,0,0
341,West Virginia,2014,1850569,172000,627,0.0929443862941614,0.0003388147105025,0,0,1,2017,0,5
342,West Virginia,2015,1843332,174000,725,0.0943942816595165,0.0003933095069146,0,0,1,2017,0,5
343,West Virginia,2016,1832435,179000,884,0.0976842289085288,0.0004824182031013,0,0,1,2017,0,5
344,West Virginia,2017,1818683,200000,974,0.1099696868558181,0.0005355523749878,0,0,1,2017,0,5
345,West Virginia,2018,1805953,222000,856,0.1229267871312265,0.0004739879720014,0,0,1,2017,0,5
346,West Virginia,2019,1795263,217000,870,0.1208736547235697,0.0004846086617949,0,0,1,2017,0,5
347,West Virginia,2020,1784787,214000,1330,0.1199022628470512,0.0007451869606849,0,0,1,2017,0,5
348,Arkansas,2015,2979732,284000,392,0.0953105849787833,0.0001315554553228,0,0,1,2016,0,6
349,Arkansas,2016,2991815,274000,401,0.0915832028384108,0.0001340323515992,0,0,1,2016,0,6
350,Arkansas,2017,3003855,312000,446,0.1038665315070134,0.000148475875167,0,0,1,2016,0,6
351,Arkansas,2018,3012161,333000,444,0.1105518596117538,0.0001474024794823,0,0,1,2016,0,6
352,Arkansas,2019,3020985,338000,388,0.111884037822101,0.000128434930991,0,0,1,2016,0,6
353,Arkansas,2020,3030522,372000,546,0.1227511300033459,0.0001801669811339,0,0,1,2016,0,6
