,State,Year,Population,Number of Cannabis Users,Number of Opioid Deaths,Per Capita Cannabis Use,Per Capita Opioid Deaths,Recreational,Rec Year Legalized,Medical,Med Year Legalized,Years legal (rec),Years legal (med)
60,Mississippi,2019,2978227,297000,394,0.0997237618220505,0.000132293475279,0,0,1,2022,0,0
61,Mississippi,2020,2966786,334000,586,0.1125797411744561,0.0001975201446953,0,0,1,2022,0,0
62,Georgia,2014,10071204,963000,1206,0.0956191533802711,0.0001197473509622,0,0,1,2015,0,7
63,Georgia,2015,10183353,1052000,1302,0.1033058561359897,0.0001278557268907,0,0,1,2015,0,7
64,Georgia,2016,10308442,1048000,1394,0.1016642476137519,0.0001352289705854,0,0,1,2015,0,7
65,Georgia,2017,10417031,993000,1537,0.0953246659244846,0.0001475468394017,0,0,1,2015,0,7
66,Georgia,2019,10628020,1310000,1408,0.123259083065331,0.0001324799915694,0,0,1,2015,0,7
67,Georgia,2020,10710017,1207000,1916,0.1126982338123272,0.000178897941992,0,0,1,2015,0,7
68,Hawaii,2014,1415335,144000,157,0.1017426969586705,0.0001109278015452,0,0,1,2000,0,22
69,Hawaii,2015,1422999,147000,169,0.1033029538320125,0.0001187632598476,0,0,1,2000,0,22
70,Hawaii,2016,1428885,151000,191,0.1056768039415348,0.0001336706592902,0,0,1,2000,0,22
71,Hawaii,2017,1425763,152000,203,0.1066095837807545,0.0001423799046545,0,0,1,2000,0,22
72,Hawaii,2018,1423102,165000,213,0.115943902826361,0.000149673038194,0,0,1,2000,0,22
73,Hawaii,2019,1415615,182000,242,0.1285660296055071,0.0001709504349699,0,0,1,2000,0,22
74,Hawaii,2020,1407006,175000,274,0.1243775790579428,0.0001947397523535,0,0,1,2000,0,22
75,California,2014,38586706,4633000,4521,0.1200672583972314,0.0001171647043414,1,2016,1,1996,6,26
76,California,2015,38904296,4936000,4659,0.1268754484080627,0.0001197554121015,1,2016,1,1996,6,26
77,California,2016,39149186,5296000,4654,0.1352773975939116,0.0001188785891997,1,2016,1,1996,6,26
78,California,2017,39337785,5713000,4868,0.1452293259521348,0.0001237487062375,1,2016,1,1996,6,26
79,California,2019,39437610,6641000,6198,0.1683925572568926,0.0001571596250381,1,2016,1,1996,6,26
80,California,2020,39368078,7133000,8908,0.1811874077266357,0.0002262746990086,1,2016,1,1996,6,26
81,Arizona,2014,6732873,752000,356,0.111690804207951,5.2874901992061936e-05,1,2020,1,2010,2,12
82,Arizona,2014,6732873,752000,1211,0.111690804207951,0.0001798637817763,1,2020,1,2010,2,12
83,Arizona,2015,6832810,734000,1274,0.1074228611654648,0.0001864533039847,1,2020,1,2010,2,12
84,Arizona,2016,6944767,696000,1382,0.1002193450118628,0.0001989987569057,1,2020,1,2010,2,12
85,Arizona,2017,7048088,802000,1532,0.1137897256674434,0.0002173639148659,1,2020,1,2010,2,12
86,Arizona,2018,7164228,987000,1670,0.1377678097346985,0.0002331025757415,1,2020,1,2010,2,12
87,Arizona,2019,7291843,968000,1907,0.1327510754139934,0.0002615251041471,1,2020,1,2010,2,12
88,Arizona,2020,7421401,1124000,2550,0.1514538831684206,0.0003436008915297,1,2020,1,2010,2,12
89,New York,2014,19653431,2372000,2300,0.1206913948002259,0.0001170279123273,1,2021,1,2014,1,8
90,New York,2015,19657321,2519000,2754,0.1281456410057097,0.0001401004745254,1,2021,1,2014,1,8
91,New York,2016,19636391,2491000,3638,0.1268563047048717,0.0001852682603437,1,2021,1,2014,1,8
92,New York,2017,19593849,2436000,3921,0.1243247306846143,0.0002001138214344,1,2021,1,2014,1,8
93,New York,2018,19544098,2556000,3697,0.1307811698447275,0.0001891619659295,1,2021,1,2014,1,8
94,New York,2019,19463131,2871000,3617,0.1475096684084385,0.000185838547765,1,2021,1,2014,1,8
95,New York,2020,19336776,2986000,4965,0.1544207783138202,0.0002567646230167,1,2021,1,2014,1,8
96,Oregon,2014,3965447,649000,522,0.1636637685486655,0.0001316371143026,1,2014,1,1998,8,24
97,Oregon,2015,4018542,659000,505,0.1639898251654455,0.00012566746845,1,2014,1,1998,8,24
98,Oregon,2016,4093271,783000,506,0.1912895579110203,0.0001236175176283,1,2014,1,1998,8,24
99,Oregon,2017,4147294,928000,530,0.2237603603699183,0.0001277941713319,1,2014,1,1998,8,24
100,Oregon,2019,4216116,969000,615,0.2298323860159445,0.0001458688518057,1,2014,1,1998,8,24
101,Oregon,2020,4241507,1008000,803,0.2376513819262823,0.0001893195036575,1,2014,1,1998,8,24
102,Kansas,2014,2901861,259000,332,0.089253068978838,0.000114409339386,0,0,0,0,0,0
103,Kansas,2015,2910717,292000,329,0.1003189248559719,0.0001130305694438,0,0,0,0,0,0
104,Kansas,2016,2912977,265000,131,0.0909722253213808,4.497117553622977e-05,0,0,0,0,0,0
105,Kansas,2017,2910892,283000,333,0.097221058012458,0.0001143979233856,0,0,0,0,0,0
106,Kansas,2019,2912635,349000,403,0.1198227721633503,0.0001383626853347,0,0,0,0,0,0
107,Kansas,2020,2913805,387000,490,0.1328160257807231,0.0001681649938825,0,0,0,0,0,0
108,Illinois,2014,12885092,1305000,1705,0.101279835642617,0.0001323234634257,1,2019,1,2013,3,9
109,Illinois,2015,12859585,1339000,1835,0.104124666542505,0.0001426951180772,1,2019,1,2013,3,9
110,Illinois,2016,12821709,1320000,2411,0.1029503945222902,0.0001880404554494,1,2019,1,2013,3,9
111,Illinois,2017,12779893,1482000,2778,0.1159634122132321,0.0002173727119624,1,2019,1,2013,3,9
112,Illinois,2018,12724685,1635000,2722,0.1284904105681201,0.0002139149220589,1,2019,1,2013,3,9
113,Illinois,2019,12667017,1748000,2790,0.1379961833160877,0.0002202570660479,1,2019,1,2013,3,9
114,Illinois,2020,12587530,2125000,3549,0.1688178697488705,0.0002819457034064,1,2019,1,2013,3,9
115,Florida,2014,19853880,1990000,2634,0.1002322971630734,0.0001326692817726,0,0,1,2016,0,6
116,Florida,2015,20219111,2152000,3228,0.1064339574573778,0.000159650936186,0,0,1,2016,0,6
117,Florida,2016,20627237,2275000,4728,0.1102910680669446,0.0002292115032178,0,0,1,2016,0,6
118,Florida,2017,20977089,2425000,5088,0.1156023125992362,0.000242550336703,0,0,1,2016,0,6
119,Florida,2018,21254926,2587000,4698,0.1217129619740854,0.0002210311153282,0,0,1,2016,0,6
120,Florida,2019,21492056,2705000,5268,0.1258604574639113,0.0002451138225212,0,0,1,2016,0,6
121,Florida,2020,21733312,3003000,7231,0.1381749822576513,0.0003327150505178,0,0,1,2016,0,6
122,Alabama,2014,4843737,404000,723,0.083406675465658,0.0001492649167368,0,0,1,2021,0,1
123,Alabama,2015,4854803,389000,736,0.0801268352186484,0.0001516024440126,0,0,1,2021,0,1
124,Alabama,2016,4866824,386000,756,0.0793125044176654,0.0001553374438853,0,0,1,2021,0,1
125,Alabama,2017,4877989,429000,835,0.0879460777791831,0.0001711770977753,0,0,1,2021,0,1
126,Alabama,2018,4891628,514000,775,0.1050774915835791,0.0001584339610452,0,0,1,2021,0,1
127,Alabama,2019,4907965,605000,768,0.1232690127170833,0.0001564803334987,0,0,1,2021,0,1
128,Alabama,2020,4921532,608000,1029,0.123538768009636,0.0002090812373057,0,0,1,2021,0,1
129,North Carolina,2014,9937295,986000,1358,0.0992221726334983,0.0001366569071361,0,0,0,0,0,0
130,North Carolina,2015,10037218,975000,1567,0.0971384700421969,0.0001561189564678,0,0,0,0,0,0
131,North Carolina,2016,10161802,996000,1956,0.0980141120639823,0.0001924855453786,0,0,0,0,0,0
132,North Carolina,2017,10275758,1024000,2414,0.0996520159388728,0.0002349218422621,0,0,0,0,0,0
133,North Carolina,2018,10391358,1104000,2259,0.1062421292770396,0.0002173921830043,0,0,0,0,0,0
134,North Carolina,2019,10501384,1316000,2266,0.1253168153835723,0.0002157810818078,0,0,0,0,0,0
135,North Carolina,2020,10600823,1406000,3146,0.1326312117464842,0.0002967694112051,0,0,0,0,0,0
136,South Carolina,2014,4826858,460000,701,0.095300089623519,0.0001452290496219,0,0,0,0,0,0
137,South Carolina,2015,4896006,507000,761,0.1035537946644673,0.0001554328160545,0,0,0,0,0,0
