,State,Year,Population,Number of Cannabis Users,Number of Opioid Deaths,Per Capita Cannabis Use,Per Capita Opioid Deaths
0,Total U.S.,2014,318386329,34038000,47055,0.10690785658702073,0.00014779214970627713
1,Total U.S.,2015,320738994,35584000,52404,0.11094379126224983,0.00016338518540093695
2,Total U.S.,2016,323071755,36806000,63450,0.11392515572894944,0.0001963959987774233
3,Total U.S.,2017,325122128,39252000,70237,0.12073001687538167,0.0002160326657310757
4,Total U.S.,2018,326838199,42211000,56144,0.12914953065201537,0.00017177918667946154
5,Total U.S.,2019,328329953,45865000,70630,0.1396917935172366,0.00021511896601160844
6,Total U.S.,2020,329484123,48938000,91799,0.14852915993163046,0.0002786143355381042
7,North Dakota,2014,738736,62000,43,0.08392714041281324,5.820753286695112e-05
8,Nebraska,2014,1879955,158000,125,0.08404456489650018,6.649095324090205e-05
9,South Dakota,2014,849670,62000,63,0.07296950580813728,7.414643332117176e-05
10,Iowa,2014,3110643,251000,264,0.08069071249899136,8.486991274794311e-05
11,Texas,2014,26963092,2043000,2601,0.07577024178087587,9.64651976857847e-05
12,Minnesota,2014,5452665,553000,517,0.10141829729132451,9.481602115662708e-05
13,Virginia,2014,8315430,891000,980,0.10715020149288731,0.00011785319580586933
14,Mississippi,2014,2991892,229000,336,0.07654019596964061,0.00011230351897728928
15,Georgia,2014,10071204,963000,1206,0.09561915338027112,0.0001197473509622087
16,Hawaii,2014,1415335,144000,157,0.10174269695867057,0.0001109278015452172
17,California,2014,38586706,4633000,4521,0.12006725839723142,0.00011716470434143822
18,Arizona,2014,6732873,752000,356,0.11169080420795105,5.2874901992061936e-05
19,Arizona,2014,6732873,752000,1211,0.11169080420795105,0.00017986378177636798
20,New York,2014,19653431,2372000,2300,0.12069139480022598,0.0001170279123273692
21,Oregon,2014,3965447,649000,522,0.16366376854866552,0.00013163711430262464
22,Kansas,2014,2901861,259000,332,0.08925306897883806,0.00011440933938600092
23,Illinois,2014,12885092,1305000,1705,0.10127983564261707,0.0001323234634257947
24,Florida,2014,19853880,1990000,2634,0.10023229716307341,0.00013266928177263084
25,Alabama,2014,4843737,404000,723,0.08340667546565803,0.00014926491673680878
26,North Carolina,2014,9937295,986000,1358,0.09922217263349835,0.00013665690713619754
27,South Carolina,2014,4826858,460000,701,0.09530008962351907,0.00014522904962192796
28,Maine,2014,1331217,224000,216,0.1682670819257867,0.00016225754328558003
29,Washington,2014,7057531,1105000,979,0.15657033599994105,0.00013871706691759484
30,Idaho,2014,1632248,152000,212,0.09312310384206321,0.00012988222377971974
31,Alaska,2014,737075,114000,124,0.15466540040023063,0.0001682325407862158
32,Montana,2014,1022657,120000,125,0.1173413959910312,0.00012223062082399085
33,New Jersey,2014,8867277,844000,1253,0.09518141815125433,0.0001413060627292911
34,Maryland,2014,5960064,670000,1070,0.11241490024268196,0.00017952827352189505
35,District of Columbia,2014,663603,121000,96,0.1823379339755848,0.00014466480712112514
36,Wisconsin,2014,5753199,572000,853,0.0994229471290668,0.00014826533898792653
37,Vermont,2014,625693,108000,83,0.17260861157148955,0.00013265291444845956
38,New Hampshire,2014,1334257,194000,334,0.14539927465248448,0.0002503265862573702
39,Colorado,2014,5352637,909000,899,0.16982283685592728,0.00016795459882670916
40,Michigan,2014,9932033,1304000,1762,0.1312923547475124,0.00017740577382294238
41,Connecticut,2014,3595697,427000,623,0.11875305399759768,0.00017326265255387203
42,Massachusetts,2014,6764864,989000,1289,0.14619658281378606,0.00019054337234274038
43,Indiana,2014,6596019,700000,1172,0.10612461850094732,0.0001776829326901575
44,Wyoming,2014,583159,51000,109,0.08745470789270164,0.00018691300314322508
45,Missouri,2014,6059130,639000,1067,0.10546068494981953,0.00017609788864077845
46,Louisiana,2014,4645938,425000,777,0.09147775971181707,0.00016724286893195735
47,Tennessee,2014,6544617,560000,1269,0.08556650450286091,0.00019389981109666158
48,Delaware,2014,933131,109000,189,0.11681103724986096,0.00020254390862590568
49,Pennsylvania,2014,12792392,1265000,2732,0.09888690090172346,0.0002135644373624573
50,Oklahoma,2014,3879187,338000,777,0.08713165928840244,0.0002002997019736352
51,Ohio,2014,11606573,1122000,2744,0.09666936140409405,0.00023641776086705352
52,Nevada,2014,2818935,304000,545,0.10784214605870657,0.00019333542632235225
53,Utah,2014,2938327,224000,603,0.07623385688522755,0.00020521882009728664
54,Rhode Island,2014,1056511,170000,247,0.16090698535083875,0.00023378838459798336
55,New Mexico,2014,2090236,267000,547,0.1277367723070505,0.00026169293802230946
56,Kentucky,2014,4416992,398000,1077,0.09010657026320175,0.00024383109591323687
57,West Virginia,2014,1850569,172000,627,0.09294438629416142,0.00033881471050255355
58,Alabama,2015,4854803,389000,736,0.08012683521864841,0.00015160244401266128
59,Alaska,2015,738430,127000,122,0.17198651192394676,0.00016521538940725592
60,Arizona,2015,6832810,734000,1274,0.10742286116546487,0.0001864533039847442
61,Arkansas,2015,2979732,284000,392,0.09531058497878332,0.0001315554553228277
62,California,2015,38904296,4936000,4659,0.1268754484080627,0.00011975541210153243
63,Colorado,2015,5454328,1033000,869,0.18939088371656418,0.00015932301834433132
64,Connecticut,2015,3588561,479000,800,0.13347968726183002,0.00022293058415336956
65,Delaware,2015,942065,103000,198,0.1093342816047725,0.0002101765801722811
66,District of Columbia,2015,677014,134000,125,0.1979279601308097,0.0001846342911668001
67,Florida,2015,20219111,2152000,3228,0.10643395745737783,0.00015965093618606674
68,Georgia,2015,10183353,1052000,1302,0.10330585613598979,0.00012785572689074021
69,Hawaii,2015,1422999,147000,169,0.10330295383201253,0.00011876325984768787
70,Idaho,2015,1652495,152000,218,0.09198212400037518,0.0001319217304742223
71,Illinois,2015,12859585,1339000,1835,0.10412466654250506,0.0001426951180772941
72,Indiana,2015,6611442,760000,1245,0.11495222978587727,0.00018830990274133842
73,Iowa,2015,3122541,235000,309,0.07525921997501393,9.895786796714599e-05
74,Kansas,2015,2910717,292000,329,0.10031892485597191,0.00011303056944388616
75,Kentucky,2015,4429126,449000,1273,0.10137440208293916,0.000287415621050293
76,Louisiana,2015,4666998,427000,861,0.09149350396121875,0.00018448690142999847
77,Maine,2015,1329098,227000,269,0.17079252244755466,0.0002023929010501859
78,Maryland,2015,5988528,757000,1285,0.12640835944993495,0.00021457693777168614
79,Massachusetts,2015,6797484,1058000,1724,0.15564582424908982,0.0002536232523680821
80,Michigan,2015,9934483,1266000,1980,0.127434915334799,0.00019930579175584677
81,Minnesota,2015,5484002,579000,581,0.10557983020429242,0.00010594452737252831
82,Mississippi,2015,2990231,212000,351,0.07089753266553654,0.00011738223568680815
83,Missouri,2015,6075411,683000,1066,0.11242037781476842,0.00017546138030826228
84,Montana,2015,1031495,133000,138,0.12893906417384476,0.00013378639741346297
85,Nebraska,2015,1892059,166000,126,0.0877351076261364,6.659411783670593e-05
86,Nevada,2015,2868531,309000,619,0.10772064168035834,0.00021578989385159162
87,New Hampshire,2015,1337480,199000,422,0.1487872715853695,0.0003155187367287735
88,New Jersey,2015,8870312,894000,1454,0.10078563189209128,0.00016391757133232742
89,New Mexico,2015,2090071,253000,501,0.12104851940436473,0.0002397047755793942
90,New York,2015,19657321,2519000,2754,0.12814564100570977,0.00014010047452549612
91,North Carolina,2015,10037218,975000,1567,0.09713847004219694,0.00015611895646781807
92,North Dakota,2015,755537,61000,61,0.08073727693018343,8.073727693018344e-05
93,Ohio,2015,11622315,1179000,3310,0.10144278484966206,0.0002847969617068544
94,Oklahoma,2015,3910518,358000,725,0.09154797395127705,0.00018539743328121748
95,Oregon,2015,4018542,659000,505,0.16398982516544558,0.00012566746845000002
96,Pennsylvania,2015,12789838,1339000,3264,0.1046924910229512,0.00025520260694466965
97,Rhode Island,2015,1056886,170000,310,0.16084989298751237,0.00029331451074193435
98,South Carolina,2015,4896006,507000,761,0.10355379466446732,0.0001554328160545555
99,South Dakota,2015,854663,75000,65,0.08775388661963839,7.60533684036866e-05
