,State,12 or Older Estimate,Year,Number of Deaths
211,Hawaii,165,2018,213
212,Idaho,196,2018,250
213,Illinois,1635,2018,2722
214,Indiana,867,2018,1629
215,Iowa,326,2018,287
216,Kentucky,478,2018,1315
217,Louisiana,468,2018,1140
218,Maine,277,2018,345
219,Maryland,738,2018,2324
220,Massachusetts,1218,2018,2241
221,Michigan,1562,2018,2591
222,Mississippi,284,2018,310
223,Missouri,743,2018,1610
224,Nebraska,200,2018,138
225,New Hampshire,240,2018,452
226,New Jersey,931,2018,2900
227,New Mexico,325,2018,537
228,New York,2556,2018,3697
229,North Carolina,1104,2018,2259
230,North Dakota,74,2018,70
231,Ohio,1348,2018,3980
232,Oklahoma,416,2018,716
233,Pennsylvania,1542,2018,4415
234,Rhode Island,189,2018,317
235,South Carolina,578,2018,1125
236,South Dakota,86,2018,57
237,Tennessee,739,2018,1823
238,Texas,2559,2018,3005
239,Utah,271,2018,624
240,Vermont,138,2018,153
241,Virginia,841,2018,1448
242,Washington,1467,2018,1164
243,West Virginia,222,2018,856
244,Wisconsin,666,2018,1079
245,Alabama,605,2019,768
246,Alaska,146,2019,132
247,Arizona,968,2019,1907
248,Arkansas,338,2019,388
249,California,6641,2019,6198
250,Colorado,1265,2019,1079
251,Connecticut,583,2019,1214
252,Delaware,149,2019,435
253,District of Columbia,164,2019,311
254,Florida,2705,2019,5268
255,Georgia,1310,2019,1408
256,Hawaii,182,2019,242
257,Idaho,205,2019,265
258,Illinois,1748,2019,2790
259,Indiana,928,2019,1699
260,Iowa,327,2019,352
261,Kansas,349,2019,403
262,Kentucky,553,2019,1380
263,Louisiana,464,2019,1267
264,Maine,289,2019,371
265,Maryland,813,2019,2369
266,Massachusetts,1318,2019,2210
267,Michigan,1765,2019,2385
268,Minnesota,781,2019,792
269,Mississippi,297,2019,394
270,Missouri,763,2019,1583
271,Montana,180,2019,143
272,Nebraska,227,2019,161
273,Nevada,613,2019,647
274,New Hampshire,253,2019,407
275,New Jersey,1033,2019,2805
276,New Mexico,358,2019,599
277,New York,2871,2019,3617
278,North Carolina,1316,2019,2266
279,North Dakota,78,2019,82
280,Ohio,1556,2019,4251
281,Oklahoma,497,2019,645
282,Oregon,969,2019,615
283,Pennsylvania,1752,2019,4377
284,Rhode Island,212,2019,307
285,South Carolina,620,2019,1127
286,South Dakota,80,2019,86
287,Tennessee,780,2019,2089
288,Texas,2862,2019,3136
289,Utah,314,2019,571
290,Vermont,148,2019,133
291,Virginia,866,2019,1547
292,Washington,1624,2019,1259
293,West Virginia,217,2019,870
294,Wisconsin,720,2019,1201
295,Wyoming,61,2019,79
296,Alabama,608,2020,1029
297,Alaska,140,2020,160
298,Arizona,1124,2020,2550
299,Arkansas,372,2020,546
300,California,7133,2020,8908
301,Colorado,1300,2020,1492
302,Connecticut,626,2020,1371
303,Delaware,140,2020,444
304,District of Columbia,181,2020,424
305,Florida,3003,2020,7231
306,Georgia,1207,2020,1916
307,Hawaii,175,2020,274
308,Idaho,239,2020,287
309,Illinois,2125,2020,3549
310,Indiana,873,2020,2321
311,Iowa,389,2020,432
312,Kansas,387,2020,490
313,Kentucky,557,2020,2083
314,Louisiana,552,2020,1896
315,Maine,283,2020,496
316,Maryland,839,2020,2771
317,Massachusetts,1432,2020,2302
318,Michigan,1918,2020,2759
319,Minnesota,776,2020,1050
320,Mississippi,334,2020,586
321,Missouri,831,2020,1875
322,Montana,212,2020,162
323,Nebraska,220,2020,214
324,Nevada,588,2020,832
325,New Hampshire,260,2020,393
326,New Jersey,1121,2020,2840
327,New Mexico,329,2020,784
328,New York,2986,2020,4965
329,North Carolina,1406,2020,3146
330,North Dakota,92,2020,114
331,Ohio,1704,2020,5204
332,Oklahoma,629,2020,762
333,Oregon,1008,2020,803
334,Pennsylvania,1832,2020,5168
335,Rhode Island,224,2020,397
336,South Carolina,592,2020,1739
337,South Dakota,95,2020,83
338,Tennessee,874,2020,3034
339,Texas,2987,2020,4172
340,Utah,354,2020,622
341,Vermont,160,2020,190
342,Virginia,959,2020,2240
343,Washington,1715,2020,1733
344,West Virginia,214,2020,1330
345,Wisconsin,765,2020,1531
346,Wyoming,67,2020,99
