,State,Year,Population
299,,2019,12798883
300,,2019,1058158
301,,2019,5157702
302,,2019,887127
303,,2019,6830325
304,,2019,28986794
305,,2019,3203383
306,,2019,624046
307,,2019,8556642
308,,2019,7614024
309,,2019,1795263
310,,2019,5824581
311,,2019,580116
312,,2020,329484123
313,,2020,4921532
314,,2020,731158
315,,2020,7421401
316,,2020,3030522
317,,2020,39368078
318,,2020,5807719
319,,2020,3557006
320,,2020,986809
321,,2020,712816
322,,2020,21733312
323,,2020,10710017
324,,2020,1407006
325,,2020,1826913
326,,2020,12587530
327,,2020,6754953
328,,2020,3163561
329,,2020,2913805
330,,2020,4477251
331,,2020,4645318
332,,2020,1350141
333,,2020,6055802
334,,2020,6893574
335,,2020,9966555
336,,2020,5657342
337,,2020,2966786
338,,2020,6151548
339,,2020,1080577
340,,2020,1937552
341,,2020,3138259
342,,2020,1366275
343,,2020,8882371
344,,2020,2106319
345,,2020,19336776
346,,2020,10600823
347,,2020,765309
348,,2020,11693217
349,,2020,3980783
350,,2020,4241507
351,,2020,12783254
352,,2020,1057125
353,,2020,5218040
354,,2020,892717
355,,2020,6886834
356,,2020,29360759
357,,2020,3249879
358,,2020,623347
359,,2020,8590563
360,,2020,7693612
361,,2020,1784787
362,,2020,5832655
363,,2020,582328
